Obs;YearMonth;Sweetwhite;MMC(12);comp.sais;comp.sais.corr;I0
1;1980-01;85;;;;0,859427541
2;1980-02;89;;;;0,810978947
3;1980-03;109;;;;0,935067684
4;1980-04;95;;;;0,85759467
5;1980-05;91;;;;0,8186759
6;1980-06;95;;;;0,77322505
7;1980-07;96;114,4583333;0,838733163;1,034737915;1,034737915
8;1980-08;128;118,9583333;1,076007005;1,117070361;1,117070361
9;1980-09;124;122,6666667;1,010869565;1,05643484;1,05643484
10;1980-10;111;126,125;0,880079286;1,013671606;1,013671606
11;1980-11;178;127,6666667;1,394255875;1,236438833;1,236438833
12;1980-12;140;127,625;1,096963761;1,486676653;1,486676653
13;1981-01;150;128,125;1,170731707;0,859427541;
14;1981-02;132;129,7916667;1,017014446;0,810978947;
15;1981-03;155;130,875;1,184336199;0,935067684;
16;1981-04;132;131,625;1,002849003;0,85759467;
17;1981-05;91;131,25;0,693333333;0,8186759;
18;1981-06;94;131,0416667;0,717329094;0,77322505;
19;1981-07;109;129,9583333;0,838730362;1,034737915;
20;1981-08;155;127,5416667;1,215289121;1,117070361;
21;1981-09;123;126;0,976190476;1,05643484;
22;1981-10;130;124;1,048387097;1,013671606;
23;1981-11;150;123,875;1,210898083;1,236438833;
24;1981-12;163;125,5;1,298804781;1,486676653;
25;1982-01;101;128,25;0,787524366;0,859427541;
26;1982-02;123;130,4166667;0,94313099;0,810978947;
27;1982-03;127;130,9583333;0,969774101;0,935067684;
28;1982-04;112;131,6666667;0,850632911;0,85759467;
29;1982-05;108;133;0,812030075;0,8186759;
30;1982-06;116;135,9583333;0,853202574;0,77322505;
31;1982-07;153;139,4583333;1,097101882;1,034737915;
32;1982-08;163;140,7916667;1,157738976;1,117070361;
33;1982-09;128;141,375;0,905393457;1,05643484;
34;1982-10;142;143,8333333;0,987253766;1,013671606;
35;1982-11;170;147,2083333;1,154825927;1,236438833;
36;1982-12;214;150,9583333;1,417609716;1,486676653;
37;1983-01;134;152,375;0,879409352;0,859427541;
38;1983-02;122;151,6666667;0,804395604;0,810978947;
39;1983-03;142;152,9166667;0,928610354;0,935067684;
40;1983-04;156;152,7916667;1,020998091;0,85759467;
41;1983-05;145;151,2916667;0,95841366;0,8186759;
42;1983-06;169;150,375;1,123857024;0,77322505;
43;1983-07;134;149,25;0,897822446;1,034737915;
44;1983-08;165;148,9166667;1,108002238;1,117070361;
45;1983-09;156;148,875;1,047858942;1,05643484;
46;1983-10;111;147,9583333;0,750211208;1,013671606;
47;1983-11;165;146,4166667;1,126920888;1,236438833;
48;1983-12;197;144,2083333;1,366079168;1,486676653;
49;1984-01;124;142,8333333;0,868144691;0,859427541;
50;1984-02;124;143,1666667;0,866123399;0,810978947;
51;1984-03;139;141,5833333;0,981753973;0,935067684;
52;1984-04;137;139,7083333;0,980614375;0,85759467;
53;1984-05;127;138,9166667;0,914217157;0,8186759;
54;1984-06;134;138,125;0,970135747;0,77322505;
55;1984-07;136;137,5833333;0,988491823;1,034737915;
56;1984-08;171;136,8333333;1,249695493;1,117070361;
57;1984-09;112;136;0,823529412;1,05643484;
