t;serie
1;4985
2;4969
3;4980
4;4989
5;4993
6;4995
7;4997
8;4362
9;5047
10;5044
11;5032
12;5036
13;5091
14;5101
15;5122
16;5126
17;5144
18;5164
19;5164
20;5181
21;5187
22;5196
23;5192
24;5201
25;5215
26;5220
27;5210
28;5222
29;5229
30;5233
31;5237
32;5223
33;5244
34;5251
35;5251
36;5256
37;5261
38;5253
39;5251
40;5245
41;5249
42;5148
43;5245
44;5219
45;5262
46;5260
47;5283
48;5291
49;5299
50;5308
51;5319
52;5343
53;5341
54;5342
55;5349
56;5366
57;5394
58;5412
59;5428
60;5439
61;5445
62;5462
63;5482
64;5491
65;5497
66;5515
67;5526
68;5533
69;5536
70;5544
71;5559
72;5571
73;5588
74;5602
75;5587
76;5607
77;5621
78;5635
79;5651
80;5540
81;5625
82;5638
83;5661
84;5741
85;5754
86;5766
87;5772
88;5776
89;5794
90;5804
91;5799
92;5804
93;5811
94;5812
95;5805
96;5818
97;5813
98;5777
99;5768
100;5762
101;5763
102;5755
103;5757
104;5763
105;5754
106;5750
107;5745
108;5739
109;5717
110;5719
111;5716
112;5713
113;5711
114;5711
115;5707
116;5701
117;5704
118;5699
119;5699
120;5707
121;5719
122;5725
123;5724
124;5720
125;5719
126;5711
127;5709
128;5690
129;5692
130;5693
131;5700
132;5697
133;5708
134;5716
135;5737
